Name,Release,URL,m3u8 URL
A Violent Life,"Aug 09, 2017",https://bflix.io/movie/a-violent-life-17p0x/1-1,https://be4235.rcr32.ams02.cdn112.com/hls2/01/04690/7us8sz6qgs48_x/master.m3u8?t=CW5gF9o8VCfYGlPlyZcTGgnxydi5rl9ZU1-OZVYi6EI&s=1695642658&e=43200&f=23453714&srv=02&asn=17557&sp=2500
Manbaby,"Aug 17, 2022",https://bflix.io/movie/manbaby-vqpk2/1-1,https://be4242.rcr52.ams03.cdn112.com/hls2/01/04690/tspjg8l35fst_x/master.m3u8?t=QA06r2elKXJRMlnXyt-DIUuVf0jOO5EcA_XRAXg-GL0&s=1695642664&e=43200&f=23454033&srv=47&asn=17557&sp=2500
She Came from the Woods,"Feb 10, 2023",https://bflix.io/movie/she-came-from-the-woods-qzm8n/1-1,No Link Found
Karwaan,"Aug 03, 2018",https://bflix.io/movie/karwaan-0mnz7/1-1,No Link Found
Demons at Dawn,"Oct 28, 2022",https://bflix.io/movie/demons-at-dawn-x1wmz/1-1,https://be7713.rcr82.waw05.cdn112.com/hls2/01/04690/enlsqx645kl6_x/master.m3u8?t=aHh8EoGMyix6cEUwB6ed8B0rDKtYSozwBvdR0g1iBnM&s=1695642706&e=43200&f=23454254&srv=04&asn=17557&sp=2500
Memories of Me,"Oct 07, 1988",https://bflix.io/movie/memories-of-me-17p6x/1-1,https://be7713.rcr82.waw05.cdn112.com/hls2/01/04690/99e198mowlm3_x/index-v1-a1.m3u8?t=hH576hBRzesT1vGpPgEh9hL6EifV2fGb8Wo4sCMdx9o&s=1695642711&e=43200&f=23454689&srv=32&asn=17557&sp=2500
Beyond the Gates of Hell,"Sep 04, 2022",https://bflix.io/movie/beyond-the-gates-of-hell-0mn57/1-1,https://be2719.rcr22.ams01.cdn112.com/hls2/03/04690/3j4lznlpfj8n_x/master.m3u8?t=UMrBeR_3blpavxI1OcH3kzLql6UM2mXRi24m7u3a2lg&s=1695642716&e=43200&f=23453549&srv=30&asn=17557&sp=2500
The Cheerleader Sleepover Slaughter,"Jan 01, 2022",https://bflix.io/movie/the-cheerleader-sleepover-slaughter-wqrlk/1-1,https://be7713.rcr82.waw05.cdn112.com/hls2/02/04690/0r8fahaj5rv7_x/index-v1-a1.m3u8?t=T7FyHZiNVmea91Yj955czjgFc20sDkacSK-frdzc6DE&s=1695642722&e=43200&f=23453541&srv=31&asn=17557&sp=2500
A Town Full of Ghosts,"Jun 17, 2022",https://bflix.io/movie/a-town-full-of-ghosts-yjyn0/1-1,https://be2719.rcr22.ams01.cdn112.com/hls2/01/04690/w8pau6g8dhry_x/index-v1-a1.m3u8?t=_WhrcWVf015lUVcO2eE47OOdmh2UhP_23bKo1TcYFss&s=1695642728&e=43200&f=23453989&srv=46&asn=17557&sp=2500
Freaky Profiling,"Jul 24, 2023",https://bflix.io/movie/freaky-profiling-pm394/1-1,https://be4235.rcr32.ams02.cdn112.com/hls2/01/04690/qvt0dxqea72b_x/index-v1-a1.m3u8?t=FAfJ_WS5phfCa56MdkdwIHbL6VGJtoGkVQaG-NvZ7lU&s=1695642732&e=43200&f=23453363&srv=06&asn=17557&sp=2500
Bogowie,"Oct 10, 2014",https://bflix.io/movie/bogowie-nkz1k/1-1,https://be4235.rcr32.ams02.cdn112.com/hls2/01/04690/ikncztpv0e73_x/master.m3u8?t=gNGovspWPlRB5qDlqH3ZNqGZe8AgG8kTQmujBfU3ndI&s=1695642738&e=43200&f=23453233&srv=24&asn=17557&sp=2500
